pwsid,year,source_type,source_status,number_of_sources
CA0710006,2022,surface water,approved,0
CA0710006,2022,purchased groundwater,approved,0
CA0710006,2022,purchased surface water,approved,1
CA0710006,2022,standby sources,approved,0
CA0710006,2022,emergency interties,approved,2
CA0710006,2022,inactive,approved,6
CA0710006,2022,proposed,approved,0
CA0710007,2022,groundwater,approved,4
CA0710007,2022,surface water,approved,0
CA0710007,2022,purchased groundwater,approved,0
CA0710007,2022,purchased surface water,approved,1
CA0710007,2022,standby sources,approved,0
CA0710007,2022,emergency interties,approved,0
CA0710007,2022,inactive,approved,1
CA0710007,2022,proposed,approved,0
CA0710008,2022,groundwater,approved,2
CA0710008,2022,surface water,approved,0
CA0710008,2022,purchased groundwater,approved,0
CA0710008,2022,purchased surface water,approved,1
CA0710008,2022,standby sources,approved,0
CA0710008,2022,emergency interties,approved,0
CA0710008,2022,inactive,approved,7
CA0710008,2022,proposed,approved,0
CA0710009,2022,groundwater,approved,5
CA0710009,2022,surface water,approved,0
CA0710009,2022,purchased groundwater,approved,0
CA0710009,2022,purchased surface water,approved,0
CA0710009,2022,standby sources,approved,1
CA0710009,2022,emergency interties,approved,0
CA0710009,2022,inactive,approved,4
CA0710009,2022,proposed,approved,0
CA0810001,2022,groundwater,approved,1
CA0810001,2022,surface water,approved,0
CA0810001,2022,purchased groundwater,approved,0
CA0810001,2022,purchased surface water,approved,0
CA0810001,2022,standby sources,approved,0
CA0810001,2022,emergency interties,approved,0
CA0810001,2022,inactive,approved,1
CA0810001,2022,proposed,approved,0
CA0910001,2022,groundwater,approved,0
CA0910001,2022,surface water,approved,3
CA0910001,2022,purchased groundwater,approved,0
CA0910001,2022,purchased surface water,approved,0
CA0910001,2022,standby sources,approved,0
CA0910001,2022,emergency interties,approved,0
CA0910001,2022,inactive,approved,4
CA0910001,2022,proposed,approved,0
CA0910002,2022,groundwater,approved,14
CA0910002,2022,surface water,approved,0
CA0910002,2022,purchased groundwater,approved,0
CA0910002,2022,purchased surface water,approved,0
CA0910002,2022,standby sources,approved,0
CA0910002,2022,emergency interties,approved,0
CA0910002,2022,inactive,approved,31
CA0910002,2022,proposed,approved,0
CA0910003,2022,groundwater,approved,0
CA0910003,2022,surface water,approved,0
CA0910003,2022,purchased groundwater,approved,0
CA0910003,2022,purchased surface water,approved,10
CA0910003,2022,standby sources,approved,0
CA0910003,2022,emergency interties,approved,0
CA0910003,2022,inactive,approved,1
CA0910003,2022,proposed,approved,0
CA0910013,2022,groundwater,approved,0
CA0910013,2022,surface water,approved,2
CA0910013,2022,purchased groundwater,approved,0
CA0910013,2022,purchased surface water,approved,0
CA0910013,2022,standby sources,approved,0
CA0910013,2022,emergency interties,approved,0
CA0910013,2022,inactive,approved,1
CA0910013,2022,proposed,approved,0
CA0910015,2022,groundwater,approved,3
CA0910015,2022,surface water,approved,0
CA0910015,2022,purchased groundwater,approved,2
CA0910015,2022,purchased surface water,approved,0
CA0910015,2022,standby sources,approved,0
CA0910015,2022,emergency interties,approved,0
CA0910015,2022,inactive,approved,0
CA0910015,2022,proposed,approved,0
CA1010001,2022,groundwater,approved,13
CA1010001,2022,surface water,approved,0
CA1010001,2022,purchased groundwater,approved,0
CA1010001,2022,purchased surface water,approved,0
CA1010001,2022,standby sources,approved,0
CA1010001,2022,emergency interties,approved,0
CA1010001,2022,inactive,approved,6
CA1010001,2022,proposed,approved,0
CA1010003,2022,groundwater,approved,37
CA1010003,2022,surface water,approved,1
CA1010003,2022,purchased groundwater,approved,0
CA1010003,2022,purchased surface water,approved,0
CA1010003,2022,standby sources,approved,1
CA1010003,2022,emergency interties,approved,0
CA1010003,2022,inactive,approved,17
CA1010003,2022,proposed,approved,1
CA1010004,2022,groundwater,approved,0
CA1010004,2022,surface water,approved,1
CA1010004,2022,purchased groundwater,approved,0
CA1010004,2022,purchased surface water,approved,0
CA1010004,2022,standby sources,approved,0
CA1010004,2022,emergency interties,approved,0
CA1010004,2022,inactive,approved,0
CA1010004,2022,proposed,approved,0
CA1010006,2022,groundwater,approved,6
CA1010006,2022,surface water,approved,0
CA1010006,2022,purchased groundwater,approved,0
CA1010006,2022,purchased surface water,approved,0
CA1010006,2022,standby sources,approved,0
CA1010006,2022,emergency interties,approved,0
CA1010006,2022,inactive,approved,3
CA1010006,2022,proposed,approved,0
CA1010007,2022,groundwater,approved,215
CA1010007,2022,surface water,approved,4
CA1010007,2022,purchased groundwater,approved,0
CA1010007,2022,purchased surface water,approved,0
CA1010007,2022,standby sources,approved,1
CA1010007,2022,emergency interties,approved,1
CA1010007,2022,inactive,approved,189
CA1010007,2022,proposed,approved,3
CA1010018,2022,groundwater,approved,6
CA1010018,2022,surface water,approved,0
CA1010018,2022,purchased groundwater,approved,0
CA1010018,2022,purchased surface water,approved,0
CA1010018,2022,standby sources,approved,0
CA1010018,2022,emergency interties,approved,0
CA1010018,2022,inactive,approved,10
CA1010018,2022,proposed,approved,1
CA1010019,2022,groundwater,approved,7
CA1010019,2022,surface water,approved,0
CA1010019,2022,purchased groundwater,approved,0
CA1010019,2022,purchased surface water,approved,0
CA1010019,2022,standby sources,approved,0
CA1010019,2022,emergency interties,approved,0
CA1010019,2022,inactive,approved,6
CA1010019,2022,proposed,approved,0
CA1010021,2022,groundwater,approved,3
CA1010021,2022,surface water,approved,0
CA1010021,2022,purchased groundwater,approved,0
CA1010021,2022,purchased surface water,approved,0
CA1010021,2022,standby sources,approved,1
CA1010021,2022,emergency interties,approved,0
CA1010021,2022,inactive,approved,6
CA1010021,2022,proposed,approved,0
CA1010023,2022,groundwater,approved,0
CA1010023,2022,surface water,approved,1
CA1010023,2022,purchased groundwater,approved,0
CA1010023,2022,purchased surface water,approved,0
CA1010023,2022,standby sources,approved,0
CA1010023,2022,emergency interties,approved,0
CA1010023,2022,inactive,approved,8
CA1010023,2022,proposed,approved,0
CA1010024,2022,groundwater,approved,10
CA1010024,2022,surface water,approved,0
CA1010024,2022,purchased groundwater,approved,0
CA1010024,2022,purchased surface water,approved,0
CA1010024,2022,standby sources,approved,0
CA1010024,2022,emergency interties,approved,0
CA1010024,2022,inactive,approved,14
CA1010024,2022,proposed,approved,0
CA1010025,2022,groundwater,approved,4
CA1010025,2022,surface water,approved,0
CA1010025,2022,purchased groundwater,approved,0
CA1010025,2022,purchased surface water,approved,0
CA1010025,2022,standby sources,approved,2
CA1010025,2022,emergency interties,approved,0
CA1010025,2022,inactive,approved,6
CA1010025,2022,proposed,approved,0
CA1010026,2022,groundwater,approved,5
CA1010026,2022,surface water,approved,0
CA1010026,2022,purchased groundwater,approved,0
CA1010026,2022,purchased surface water,approved,0
CA1010026,2022,standby sources,approved,0
CA1010026,2022,emergency interties,approved,0
CA1010026,2022,inactive,approved,4
CA1010026,2022,proposed,approved,0
CA1010027,2022,groundwater,approved,7
CA1010027,2022,surface water,approved,0
CA1010027,2022,purchased groundwater,approved,0
CA1010027,2022,purchased surface water,approved,0
CA1010027,2022,standby sources,approved,0
CA1010027,2022,emergency interties,approved,0
CA1010027,2022,inactive,approved,9
CA1010027,2022,proposed,approved,0
CA1010029,2022,groundwater,approved,10
CA1010029,2022,surface water,approved,0
CA1010029,2022,purchased groundwater,approved,0
CA1010029,2022,purchased surface water,approved,0
CA1010029,2022,standby sources,approved,0
CA1010029,2022,emergency interties,approved,0
CA1010029,2022,inactive,approved,6
CA1010029,2022,proposed,approved,0
CA1010034,2022,groundwater,approved,3
CA1010034,2022,surface water,approved,0
CA1010034,2022,purchased groundwater,approved,0
CA1010034,2022,purchased surface water,approved,0
CA1010034,2022,standby sources,approved,0
CA1010034,2022,emergency interties,approved,0
CA1010034,2022,inactive,approved,2
CA1010034,2022,proposed,approved,0
CA1010042,2022,groundwater,approved,3
CA1010042,2022,surface water,approved,0
CA1010042,2022,purchased groundwater,approved,0
CA1010042,2022,purchased surface water,approved,0
CA1010042,2022,standby sources,approved,0
CA1010042,2022,emergency interties,approved,0
CA1010042,2022,inactive,approved,5
CA1010042,2022,proposed,approved,0
CA1010044,2022,groundwater,approved,0
CA1010044,2022,surface water,approved,1
CA1010044,2022,purchased groundwater,approved,0
CA1010044,2022,purchased surface water,approved,0
CA1010044,2022,standby sources,approved,0
CA1010044,2022,emergency interties,approved,0
CA1010044,2022,inactive,approved,0
CA1010044,2022,proposed,approved,0
CA1010339,2022,groundwater,approved,3
CA1010339,2022,surface water,approved,0
CA1010339,2022,purchased groundwater,approved,0
CA1010339,2022,purchased surface water,approved,0
CA1010339,2022,standby sources,approved,0
CA1010339,2022,emergency interties,approved,1
CA1010339,2022,inactive,approved,4
CA1010339,2022,proposed,approved,0
CA1110001,2022,groundwater,approved,6
CA1110001,2022,surface water,approved,0
CA1110001,2022,purchased groundwater,approved,0
CA1110001,2022,purchased surface water,approved,0
CA1110001,2022,standby sources,approved,0
CA1110001,2022,emergency interties,approved,0
CA1110001,2022,inactive,approved,4
CA1110001,2022,proposed,approved,0
CA1110003,2022,groundwater,approved,7
CA1110003,2022,surface water,approved,0
CA1110003,2022,purchased groundwater,approved,0
CA1110003,2022,purchased surface water,approved,0
CA1110003,2022,standby sources,approved,0
CA1110003,2022,emergency interties,approved,0
CA1110003,2022,inactive,approved,2
CA1110003,2022,proposed,approved,0
CA1210001,2022,groundwater,approved,0
CA1210001,2022,surface water,approved,0
CA1210001,2022,purchased groundwater,approved,1
CA1210001,2022,purchased surface water,approved,0
CA1210001,2022,standby sources,approved,1
CA1210001,2022,emergency interties,approved,0
CA1210001,2022,inactive,approved,0
CA1210001,2022,proposed,approved,0
CA1210004,2022,groundwater,approved,0
CA1210004,2022,surface water,approved,0
CA1210004,2022,purchased groundwater,approved,1
CA1210004,2022,purchased surface water,approved,0
CA1210004,2022,standby sources,approved,0
CA1210004,2022,emergency interties,approved,2
CA1210004,2022,inactive,approved,1
CA1210004,2022,proposed,approved,0
CA1210006,2022,groundwater,approved,5
CA1210006,2022,surface water,approved,0
CA1210006,2022,purchased groundwater,approved,0
CA1210006,2022,purchased surface water,approved,0
CA1210006,2022,standby sources,approved,0
CA1210006,2022,emergency interties,approved,0
CA1210006,2022,inactive,approved,6
CA1210006,2022,proposed,approved,1
CA1210009,2022,groundwater,approved,2
CA1210009,2022,surface water,approved,0
CA1210009,2022,purchased groundwater,approved,2
CA1210009,2022,purchased surface water,approved,0
CA1210009,2022,standby sources,approved,0
CA1210009,2022,emergency interties,approved,7
CA1210009,2022,inactive,approved,6
CA1210009,2022,proposed,approved,0
CA1210012,2022,groundwater,approved,2
CA1210012,2022,surface water,approved,1
CA1210012,2022,purchased groundwater,approved,0
CA1210012,2022,purchased surface water,approved,0
CA1210012,2022,standby sources,approved,0
CA1210012,2022,emergency interties,approved,0
CA1210012,2022,inactive,approved,3
CA1210012,2022,proposed,approved,0
CA1210016,2022,groundwater,approved,0
CA1210016,2022,surface water,approved,0
CA1210016,2022,purchased groundwater,approved,1
CA1210016,2022,purchased surface water,approved,0
CA1210016,2022,standby sources,approved,0
CA1210016,2022,emergency interties,approved,0
CA1210016,2022,inactive,approved,0
CA1210016,2022,proposed,approved,0
CA1310001,2022,groundwater,approved,0
CA1310001,2022,surface water,approved,0
CA1310001,2022,purchased groundwater,approved,0
CA1310001,2022,purchased surface water,approved,1
CA1310001,2022,standby sources,approved,0
CA1310001,2022,emergency interties,approved,0
CA1310001,2022,inactive,approved,0
CA1310001,2022,proposed,approved,0
CA1310002,2022,groundwater,approved,0
CA1310002,2022,surface water,approved,0
CA1310002,2022,purchased groundwater,approved,0
CA1310002,2022,purchased surface water,approved,1
CA1310002,2022,standby sources,approved,0
CA1310002,2022,emergency interties,approved,0
CA1310002,2022,inactive,approved,0
CA1310002,2022,proposed,approved,0
CA1310003,2022,groundwater,approved,0
CA1310003,2022,surface water,approved,0
CA1310003,2022,purchased groundwater,approved,0
CA1310003,2022,purchased surface water,approved,1
CA1310003,2022,standby sources,approved,0
CA1310003,2022,emergency interties,approved,0
CA1310003,2022,inactive,approved,0
CA1310003,2022,proposed,approved,0
CA1310004,2022,groundwater,approved,0
CA1310004,2022,surface water,approved,0
CA1310004,2022,purchased groundwater,approved,0
CA1310004,2022,purchased surface water,approved,2
CA1310004,2022,standby sources,approved,0
CA1310004,2022,emergency interties,approved,0
CA1310004,2022,inactive,approved,0
CA1310004,2022,proposed,approved,0
CA1310005,2022,groundwater,approved,0
CA1310005,2022,surface water,approved,0
CA1310005,2022,purchased groundwater,approved,0
CA1310005,2022,purchased surface water,approved,1
CA1310005,2022,standby sources,approved,0
CA1310005,2022,emergency interties,approved,0
CA1310005,2022,inactive,approved,0
CA1310005,2022,proposed,approved,0
CA1310006,2022,groundwater,approved,0
CA1310006,2022,surface water,approved,0
CA1310006,2022,purchased groundwater,approved,0
CA1310006,2022,purchased surface water,approved,1
CA1310006,2022,standby sources,approved,0
CA1310006,2022,emergency interties,approved,0
CA1310006,2022,inactive,approved,0
CA1310006,2022,proposed,approved,0
CA1310007,2022,groundwater,approved,0
CA1310007,2022,surface water,approved,0
CA1310007,2022,purchased groundwater,approved,0
CA1310007,2022,purchased surface water,approved,1
CA1310007,2022,standby sources,approved,1
CA1310007,2022,emergency interties,approved,1
CA1310007,2022,inactive,approved,0
CA1310007,2022,proposed,approved,0
CA1310800,2022,groundwater,approved,0
CA1310800,2022,surface water,approved,0
CA1310800,2022,purchased groundwater,approved,0
CA1310800,2022,purchased surface water,approved,1
CA1310800,2022,standby sources,approved,0
CA1310800,2022,emergency interties,approved,0
CA1310800,2022,inactive,approved,0
CA1310800,2022,proposed,approved,0
CA1310801,2022,groundwater,approved,0
CA1310801,2022,surface water,approved,0
CA1310801,2022,purchased groundwater,approved,0
CA1310801,2022,purchased surface water,approved,1
CA1310801,2022,standby sources,approved,0
CA1310801,2022,emergency interties,approved,0
CA1310801,2022,inactive,approved,0
CA1310801,2022,proposed,approved,0
CA1410001,2022,groundwater,approved,2
CA1410001,2022,surface water,approved,0
CA1410001,2022,purchased groundwater,approved,0
CA1410001,2022,purchased surface water,approved,0
CA1410001,2022,standby sources,approved,1
CA1410001,2022,emergency interties,approved,0
CA1410001,2022,inactive,approved,0
CA1410001,2022,proposed,approved,0
CA1510001,2022,groundwater,approved,7
CA1510001,2022,surface water,approved,0
CA1510001,2022,purchased groundwater,approved,0
CA1510001,2022,purchased surface water,approved,0
CA1510001,2022,standby sources,approved,0
CA1510001,2022,emergency interties,approved,0
CA1510001,2022,inactive,approved,10
CA1510001,2022,proposed,approved,1
CA1510003,2022,groundwater,approved,68
CA1510003,2022,surface water,approved,1
CA1510003,2022,purchased groundwater,approved,0
CA1510003,2022,purchased surface water,approved,1
CA1510003,2022,standby sources,approved,0
CA1510003,2022,emergency interties,approved,0
CA1510003,2022,inactive,approved,90
CA1510003,2022,proposed,approved,0
CA1510005,2022,groundwater,approved,15
CA1510005,2022,surface water,approved,0
CA1510005,2022,purchased groundwater,approved,0
CA1510005,2022,purchased surface water,approved,0
CA1510005,2022,standby sources,approved,0
CA1510005,2022,emergency interties,approved,0
CA1510005,2022,inactive,approved,19
CA1510005,2022,proposed,approved,0
CA1510006,2022,groundwater,approved,6
CA1510006,2022,surface water,approved,0
CA1510006,2022,purchased groundwater,approved,0
CA1510006,2022,purchased surface water,approved,2
CA1510006,2022,standby sources,approved,0
CA1510006,2022,emergency interties,approved,0
CA1510006,2022,inactive,approved,6
CA1510006,2022,proposed,approved,1
CA1510007,2022,groundwater,approved,3
CA1510007,2022,surface water,approved,0
CA1510007,2022,purchased groundwater,approved,0
CA1510007,2022,purchased surface water,approved,0
CA1510007,2022,standby sources,approved,0
CA1510007,2022,emergency interties,approved,0
CA1510007,2022,inactive,approved,5
CA1510007,2022,proposed,approved,0
CA1510009,2022,groundwater,approved,3
CA1510009,2022,surface water,approved,0
CA1510009,2022,purchased groundwater,approved,0
CA1510009,2022,purchased surface water,approved,0
CA1510009,2022,standby sources,approved,0
CA1510009,2022,emergency interties,approved,0
CA1510009,2022,inactive,approved,1
CA1510009,2022,proposed,approved,0
CA1510012,2022,groundwater,approved,6
CA1510012,2022,surface water,approved,0
CA1510012,2022,purchased groundwater,approved,0
CA1510012,2022,purchased surface water,approved,0
CA1510012,2022,standby sources,approved,0
CA1510012,2022,emergency interties,approved,0
CA1510012,2022,inactive,approved,9
CA1510012,2022,proposed,approved,0
CA1510013,2022,groundwater,approved,3
CA1510013,2022,surface water,approved,0
CA1510013,2022,purchased groundwater,approved,0
CA1510013,2022,purchased surface water,approved,0
CA1510013,2022,standby sources,approved,0
CA1510013,2022,emergency interties,approved,0
CA1510013,2022,inactive,approved,6
CA1510013,2022,proposed,approved,0
CA1510014,2022,groundwater,approved,7
CA1510014,2022,surface water,approved,0
CA1510014,2022,purchased groundwater,approved,0
CA1510014,2022,purchased surface water,approved,1
CA1510014,2022,standby sources,approved,0
CA1510014,2022,emergency interties,approved,0
CA1510014,2022,inactive,approved,4
CA1510014,2022,proposed,approved,0
CA1510015,2022,groundwater,approved,8
CA1510015,2022,surface water,approved,0
CA1510015,2022,purchased groundwater,approved,0
CA1510015,2022,purchased surface water,approved,1
CA1510015,2022,standby sources,approved,0
CA1510015,2022,emergency interties,approved,0
CA1510015,2022,inactive,approved,12
CA1510015,2022,proposed,approved,0
